编号,名称,百度词条,百度地址,百度置信度,维基词条,维基地址,维基置信度,待复核候选
1-0076-3-029,海宝塔,海宝塔,https://baike.baidu.com/view/73128.htm,exact,,,,
1-0077-3-030,义慈惠石柱,义慈惠石柱,https://baike.baidu.com/view/418229.htm,exact,义慈惠石柱,https://zh.wikipedia.org/wiki/%E4%B9%89%E6%85%88%E6%83%A0%E7%9F%B3%E6%9F%B1,exact,
1-0078-3-031,赵州陀罗尼经幢,赵州陀罗尼经幢,https://baike.baidu.com/view/51525.htm,exact,,,,
1-0079-3-032,南禅寺大殿,南禅寺大殿,https://baike.baidu.com/view/67963.htm,exact,,,,
1-0080-3-033,佛光寺,佛光寺,https://baike.baidu.com/subview/37088/5921735.htm,exact,佛光寺,https://zh.wikipedia.org/wiki/%E4%BD%9B%E5%85%89%E5%AF%BA,exact,
1-0081-3-034,大昭寺,大昭寺,https://baike.baidu.com/subview/28306/28306.htm,exact,大昭寺,https://zh.wikipedia.org/wiki/%E5%A4%A7%E6%98%AD%E5%AF%BA,exact,
1-0082-3-035,昌珠寺,昌珠寺,https://baike.baidu.com/view/183304.htm,exact,昌珠寺,https://zh.wikipedia.org/wiki/%E6%98%8C%E7%8F%A0%E5%AF%BA,exact,
1-0083-3-036,光孝寺,光孝寺,https://baike.baidu.com/subview/59250/9432977.htm,exact,光孝寺,https://zh.wikipedia.org/wiki/%E5%85%89%E5%AD%9D%E5%AF%BA,exact,
1-0084-3-037,独乐寺,独乐寺,https://baike.baidu.com/view/17361.htm,exact,,,,
1-0085-3-038,晋祠,晋祠,https://baike.baidu.com/subview/2615/2615.htm,exact,,,,
1-0086-3-039,奉国寺,奉国寺,https://baike.baidu.com/view/17763.htm,exact,奉国寺,https://zh.wikipedia.org/wiki/%E5%A5%89%E5%9B%BD%E5%AF%BA,exact,
1-0087-3-040,清净寺,清净寺,https://baike.baidu.com/view/8227.htm,exact,,,,
1-0088-3-041,善化寺,善化寺,https://baike.baidu.com/view/51816.htm,exact,善化寺,https://zh.wikipedia.org/wiki/%E5%96%84%E5%8C%96%E5%AF%BA,exact,
1-0089-3-042,隆兴寺,隆兴寺,https://baike.baidu.com/subview/27388/6599928.htm,exact,,,,
1-0090-3-043,保国寺,保国寺,https://baike.baidu.com/view/65043.htm,exact,保国寺,https://zh.wikipedia.org/wiki/%E4%BF%9D%E5%9B%BD%E5%AF%BA,exact,
1-0091-3-044,华严寺,华严寺,https://baike.baidu.com/subview/67863/5734731.htm,exact,华严寺,https://zh.wikipedia.org/wiki/%E5%8D%8E%E4%B8%A5%E5%AF%BA,exact,
1-0092-3-045,白马寺,白马寺,https://baike.baidu.com/subview/4032/5136027.htm,exact,,,,
1-0093-3-046,永乐宫,永乐宫,https://baike.baidu.com/subview/16886/16886.htm,exact,,,,
1-0094-3-047,武当山金殿,武当山金殿,https://baike.baidu.com/view/418249.htm,exact,,,,
1-0095-3-048,萨迦寺,萨迦寺,https://baike.baidu.com/subview/113821/113821.htm,exact,,,,
1-0096-3-049,广胜寺,广胜寺,https://baike.baidu.com/subview/38758/38758.htm,exact,广胜寺,https://zh.wikipedia.org/wiki/%E5%B9%BF%E8%83%9C%E5%AF%BA,exact,
1-0097-3-050,观星台,观星台,https://baike.baidu.com/subview/230933/230933.htm,exact,,,,
1-0098-3-051,居庸关云台,居庸关云台,https://baike.baidu.com/view/63738.htm,exact,居庸关云台,https://zh.wikipedia.org/wiki/%E5%B1%85%E5%BA%B8%E5%85%B3%E4%BA%91%E5%8F%B0,exact,
1-0099-3-052,曲阜孔庙及孔府,曲阜孔庙及孔府,https://baike.baidu.com/view/1049397.htm,exact,,,,
1-0100-3-053,故宫,北京故宫,https://baike.baidu.com/subview/17598/17598.htm,related-location,故宫,https://zh.wikipedia.org/wiki/%E6%95%85%E5%AE%AB,exact,
1-0101-3-054,万里长城——八达岭,万里长城—八达岭,https://baike.baidu.com/item/%E4%B8%87%E9%87%8C%E9%95%BF%E5%9F%8E%E2%80%94%E5%85%AB%E8%BE%BE%E5%B2%AD,manual,八达岭,https://zh.wikipedia.org/wiki/%E5%85%AB%E8%BE%BE%E5%B2%AD,manual,万里长城—八达岭 | https://baike.baidu.com/item/%E4%B8%87%E9%87%8C%E9%95%BF%E5%9F%8E%E2%80%94%E5%85%AB%E8%BE%BE%E5%B2%AD | different-title
1-0102-3-055,万里长城——山海关,山海关,https://baike.baidu.com/view/16079.htm,related-location,,,,
1-0103-3-056,万里长城——嘉峪关,嘉峪关,https://baike.baidu.com/item/%E5%98%89%E5%B3%AA%E5%85%B3/31160,manual,嘉峪关,https://zh.wikipedia.org/wiki/%E5%98%89%E5%B3%AA%E5%85%B3,manual,
1-0104-3-057,西安城墙,西安城墙,https://baike.baidu.com/subview/67822/17066894.htm,exact,,,,
1-0105-3-058,天坛,天坛,https://baike.baidu.com/subview/9993/5075043.htm,exact,天坛,https://zh.wikipedia.org/wiki/%E5%A4%A9%E5%9D%9B,exact,
1-0106-3-059,北海及团城,北海及团城,https://baike.baidu.com/view/137781.htm,exact,,,,
1-0107-3-060,布达拉宫,布达拉宫,https://baike.baidu.com/subview/1663/12526603.htm,exact,布达拉宫,https://zh.wikipedia.org/wiki/%E5%B8%83%E8%BE%BE%E6%8B%89%E5%AE%AB,exact,
1-0108-3-061,噶丹寺,噶丹寺,https://baike.baidu.com/view/418618.htm,exact,,,,
1-0109-3-062,扎什伦布寺,扎什伦布寺,https://baike.baidu.com/subview/28345/8847946.htm,exact,扎什伦布寺,https://zh.wikipedia.org/wiki/%E6%89%8E%E4%BB%80%E4%BC%A6%E5%B8%83%E5%AF%BA,exact,
1-0110-3-063,智化寺,智化寺,https://baike.baidu.com/view/9538.htm,exact,智化寺,https://zh.wikipedia.org/wiki/%E6%99%BA%E5%8C%96%E5%AF%BA,exact,
1-0111-3-064,塔尔寺,塔尔寺,https://baike.baidu.com/subview/6104/6104.htm,exact,塔尔寺,https://zh.wikipedia.org/wiki/%E5%A1%94%E5%B0%94%E5%AF%BA,exact,
1-0112-3-065,沈阳故宫,沈阳故宫,https://baike.baidu.com/subview/13906/13906.htm,exact,沈阳故宫,https://zh.wikipedia.org/wiki/%E6%B2%88%E9%98%B3%E6%95%85%E5%AE%AB,exact,
1-0113-3-066,国子监,国子监,https://baike.baidu.com/subview/7406/7406.htm,exact,国子监,https://zh.wikipedia.org/wiki/%E5%9B%BD%E5%AD%90%E7%9B%91,exact,
1-0114-3-067,雍和宫,雍和宫,https://baike.baidu.com/subview/9419/9419.htm,exact,,,,
1-0115-3-068,普宁寺,普宁寺,https://baike.baidu.com/subview/51342/10867427.htm,exact,普宁寺,https://zh.wikipedia.org/wiki/%E6%99%AE%E5%AE%81%E5%AF%BA,exact,
1-0116-3-069,普乐寺,普乐寺,https://baike.baidu.com/subview/51327/51327.htm,exact,,,,
1-0117-3-070,普陀宗乘之庙,普陀宗乘之庙,https://baike.baidu.com/view/70525.htm,exact,普陀宗乘之庙,https://zh.wikipedia.org/wiki/%E6%99%AE%E9%99%80%E5%AE%97%E4%B9%98%E4%B9%8B%E5%BA%99,exact,
1-0118-3-071,须弥福寿之庙,须弥福寿之庙,https://baike.baidu.com/view/70530.htm,exact,,,,
1-0119-3-072,武侯祠,武侯祠,https://baike.baidu.com/subview/21362/5072331.htm,exact,武侯祠,https://zh.wikipedia.org/wiki/%E6%AD%A6%E4%BE%AF%E7%A5%A0,exact,
1-0120-3-073,杜甫草堂,杜甫草堂,https://baike.baidu.com/subview/21329/5370219.htm,exact,杜甫草堂,https://zh.wikipedia.org/wiki/%E6%9D%9C%E7%94%AB%E8%8D%89%E5%A0%82,exact,
1-0121-3-074,拙政园,拙政园,https://baike.baidu.com/subview/4131/4131.htm,exact,拙政园,https://zh.wikipedia.org/wiki/%E6%8B%99%E6%94%BF%E5%9B%AD,exact,
